pid,name,manufacturer,preview_image
199304470,징카민정40mg(은행엽건조엑스)(수출명 : 징카프란정),영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Muwq7fAuBq
197400571,아스코푸정(히벤즈산티페피딘),영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151318001317200082
198803039,진셀몬정,영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427430091800120
200703756,저니스타서방정8밀리그램(히드로모르폰염산염),(주)한국얀센,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147800427696000106
199703153,씨즈날정(세티리진염산염),(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427668455400133
200004062,라니타드정,(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147765855044700028
200402488,알레기살정10밀리그람(페미로라스트칼륨),현대약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428065594600146
199102043,페나투신캡슐200밀리그람(구아이페네신),미쓰비시다나베파마코리아주식회사,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154601167157200087
199702297,로부펜정(록소프로펜나트륨수화물),삼아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6NmP
200502773,메트그린에스알정500밀리그람(염산메트포르민),(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428234068200184
199502505,도네오연질캡슐(수출용),(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147809042024200035
200300408,액시드캡슐150밀리그람(니자티딘),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v1K9
199700745,푸루나졸캡슐50밀리그램(플루코나졸),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154599020614900028
198701796,마이드린캡슐,(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032623714900117
200202791,데놀정(비스무트시트르산염칼륨),(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147765859194400140
200700055,드로피진정(레보드로프로피진),코오롱제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151611729131700092
198100119,우루사정100밀리그램(우르소데옥시콜산),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68hR
198700405,베아제정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148647963523800116
198200170,대웅아스코르빈산정1000밀리그람,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwjLoFp41C
200300401,다이아벡스정1000밀리그램(메트포르민염산염),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68s3
200200444,대웅심바스타틴정20밀리그람(심바스타틴)(수출명:Starzoko20mg),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609525998000169
200400462,리버골드에프연질캡슐,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428312450900173
200400486,대웅심바스타틴정40밀리그람(수출명:Starzoko40mg),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwjLoFp434
200400475,로라비드캡슐200밀리그람(로라카베프),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v1Iz
198100123,대웅세파록실캡슐(세파드록실수화물),대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68pN
200500547,대웅알렌드로네이트정70밀리그램(알렌드론산나트륨수화물),대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6AW6
199400494,대웅아테놀롤정50밀리그램,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609525998000142
200200445,뉴란타에이정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609525998000124
199700749,목시클정187.5밀리그람(아목시실린수화물.클라부란산칼륨)(수출용),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427718028200098
200500548,게므론골드정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148647963523800110
200400477,시클러MR서방정375밀리그램(세파클러수화물),대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v1Kl
199300693,페노프론300밀리그램캡슐(페노프로펜칼슘),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v1LL
200500551,코큐텐화이트정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147800431864400134
200500554,씨콜드코프정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428288104000045
200400478,베아베린정(염산프로피베린),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609804554800079
199300694,알비스정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154730760479500028
200500557,게므론코큐텐정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428288104000082
200400480,대웅실로스타졸정50밀리그램,대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153304188829500108
200400481,네버펜틴캡슐300밀리그램(가바펜틴),대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6ASU
199700738,목시클정625밀리그램(아목시실린·클라불란산칼륨),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151620365654000112
200700726,훼로씨연질캡슐,(주)알피바이오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400035
199603003,"타이레놀8시간이알서방정(아세트아미노펜)(수출명:Tylenol Arthritis Tablet,Tylenol8Hours,Tylenol8hour,Tylenol ER extended release Caplet,Tylenol8 Hour Extended Release Caplet)",(주)한국얀센,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MfSEl6hMOG
200100579,베아코에프정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428239002400187
200503255,니코스탑트로키(이주석산니코틴이수화물)(수출용),(주)삼양바이오팜,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MaAIzBwRcq
200700470,루자탄플러스정,에이프로젠제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427878780200024
200607866,상트로스정(염화트로스피움),일양약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152726283623400022
199600572,아미콜린연질캡슐,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427379015100075
197900141,프라놀정40밀리그램(프로프라놀롤염산염),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609530110200017
199600573,새로콤연질캡슐,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427379015100054
200200443,스타프라정10밀리그램(프라바스타틴나트륨)(수출용),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725962318400066
200000803,젠가드에프캡슐,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151672201851500083
199300692,타나칸정(은행엽건조엑스),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609804554800073
200000796,아리셉트정5밀리그램(도네페질염산염),(주)한독,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N5PLuAiUXC
200000797,아리셉트정10밀리그램(도네페질염산염),(주)한독,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N6T3OpVnfX
200000799,헤모포르테캡슐(글루콘산제이철나트륨복염),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609804554800067
198000160,대웅프리미돈정,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609804554800025
198200166,대웅프로프라놀롤캡슐160mg(스페로이드형 염산프로프라놀롤),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150955083194100095
198900462,대웅프로프라놀롤캡슐80mg(스페로이드형 염산프로프라놀롤),(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150955083194100101
